species_id	sample_id	sra_sr	sra_lr	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Organism	SRA Accession	GenBank Chromosome Accession	GenBank Plasmid Accession	Molecule Length	Assembly Method
ecol	SAMN22251340	SRR18439257	SRR18439258	GCA_020540965.1	ASM2054096v1	Escherichia coli		P30_L1_05.20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5094215	3	Complete Genome	2021-10-21		4865648	3							Oxford Nanopore MinION; Illumina	United Kingdom Health Security Agency	PRJNA770738	SAMN22251340	4965	Escherichia coli	SRS12349357; OXFORD_NANOPORE:SRR18439258; ILLUMINA:SRR18439257	CP085060.1	CP085062.1; CP085061.1	CP085062.1:66866; CP085061.1:161701; CP085060.1:4865648	Unicycler v. 0.4.9
ecol	SAMN30655617	SRR21410264	SRR21547797	GCA_025398755.1	ASM2539875v1	Escherichia coli		2022CK-00450					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5203554	8	Complete Genome	2022-09-25		4856360	8							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN30655617	5162	Escherichia coli	SRS14972668; ILLUMINA:SRR21410264; OXFORD_NANOPORE:SRR21547797	CP104681.1	CP104688.1; CP104687.1; CP104686.1; CP104685.1; CP104684.1; CP104683.1; CP104682.1	CP104688.1:1240; CP104687.1:2641; CP104686.1:3223; CP104685.1:3604; CP104684.1:4075; CP104683.1:122304; CP104682.1:210107; CP104681.1:4856360	Unicycler v. 0.5.0
ecol	SAMN13951925	SRR11038979	SRR11038985	GCA_010365345.1	ASM1036534v1	Escherichia coli		32-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5173218	12	Complete Genome	2020-02-09		4853092	12							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951925	5020	Escherichia coli	SRS6117395; OXFORD_NANOPORE:SRR11038985; ILLUMINA:SRR11038979	CP048310.1	CP048321.1; CP048320.1; CP048319.1; CP048318.1; CP048317.1; CP048316.1; CP048315.1; CP048314.1; CP048313.1; CP048312.1; CP048311.1	CP048321.1:50168; CP048320.1:1822; CP048319.1:2101; CP048318.1:3174; CP048317.1:3372; CP048316.1:4069; CP048315.1:4417; CP048314.1:5163; CP048313.1:6200; CP048312.1:69245; CP048311.1:170395; CP048310.1:4853092	unicycler v. 0.4.8
ecol	SAMN34360962	SRR24308092	SRR24308029	GCA_030037135.1	ASM3003713v1	Escherichia coli		AVS0756					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4956892	2	Complete Genome	2023-05-12		4848357	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360962	4832	Escherichia coli	SRS17434180; ILLUMINA:SRR24308092; OXFORD_NANOPORE:SRR24308029	CP124481.1	CP124482.1	CP124482.1:108535; CP124481.1:4848357	Unicycler v. 0.5.0
ecol	SAMN34360959	SRR24308109	SRR24308033	GCA_030036875.1	ASM3003687v1	Escherichia coli		AVS0456					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4973976	2	Complete Genome	2023-05-12		4830942	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360959	4835	Escherichia coli	SRS17434164; ILLUMINA:SRR24308109; OXFORD_NANOPORE:SRR24308033	CP124490.1	CP124491.1	CP124491.1:143034; CP124490.1:4830942	Unicycler v. 0.5.0
ecol	SAMN17214845	SRR13358222	SRR13358212	GCA_017639025.1	ASM1763902v1	Escherichia coli		OW1E2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5014164	5	Complete Genome	2021-03-30		4820906	5							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214845	4847	Escherichia coli	SRS7969854; ILLUMINA:SRR13358222; OXFORD_NANOPORE:SRR13358212	CP067245.1	CP067249.1; CP067248.1; CP067247.1; CP067246.1	CP067249.1:3673; CP067248.1:6749; CP067247.1:74070; CP067246.1:108766; CP067245.1:4820906	Unicycler v. 0.4.8
ecol	SAMN13951917	SRR11038970	SRR11038959	GCA_010365505.1	ASM1036550v1	Escherichia coli		163					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4995341	5	Complete Genome	2020-02-09		4819649	5							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951917	4794	Escherichia coli	SRS6117407; ILLUMINA:SRR11038970; OXFORD_NANOPORE:SRR11038959	CP048371.1	CP048375.1; CP048374.1; CP048373.1; CP048372.1	CP048375.1:3684; CP048374.1:10494; CP048373.1:71270; CP048372.1:90244; CP048371.1:4819649	unicycler v. 0.4.8
ecol	SAMN38788848	SRR27185907	SRR27285307	GCA_034331185.2	ASM3433118v2	Escherichia coli		2023CK-01509					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5099852	6	Complete Genome	2024-01-14		4813684	6							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN38788848	5029	Escherichia coli	SRS19840296; ILLUMINA:SRR27185907; OXFORD_NANOPORE:SRR27285307	CP141736.1	CP141741.1; CP141740.1; CP141739.1; CP141738.1; CP141737.1	CP141741.1:3071; CP141740.1:3726; CP141739.1:51479; CP141738.1:90184; CP141737.1:137708; CP141736.1:4813684	Unicycler v. 0.5.0
ecol	SAMN13756518	SRR10896389	SRR10896390	GCA_009905135.1	ASM990513v1	Escherichia coli		94EC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5240704	7	Complete Genome	2020-01-19		4811585	7							Oxford Nanopore MiniION; Illumina NovaSeq	Temasek Life Sciences Laboratory Limited	PRJNA599529	SAMN13756518	5094	Escherichia coli	SRS6001896; OXFORD_NANOPORE:SRR10896390; ILLUMINA:SRR10896389	CP047576.1	CP047582.1; CP047581.1; CP047580.1; CP047579.1; CP047578.1; CP047577.1	CP047582.1:1506; CP047581.1:6647; CP047580.1:47443; CP047579.1:60960; CP047578.1:134426; CP047577.1:178137; CP047576.1:4811585	Unicycler v. v0.4.8
ecol	SAMN17214844	SRR13358223	SRR13358213	GCA_017639045.1	ASM1763904v1	Escherichia coli		ESBL_DR28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991508	5	Complete Genome	2021-03-30		4803708	5							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214844	4789	Escherichia coli	SRS7969853; ILLUMINA:SRR13358223; OXFORD_NANOPORE:SRR13358213	CP067250.1	CP067254.1; CP067253.1; CP067252.1; CP067251.1	CP067254.1:2101; CP067253.1:6200; CP067252.1:46067; CP067251.1:133432; CP067250.1:4803708	Unicycler v. 0.4.8
ecol	SAMN25378667	SRR21680818	SRR21680817	GCA_022014695.1	ASM2201469v1	Escherichia coli		SWYH.B349aT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4918847	4	Complete Genome	2022-02-06		4800990	4							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA801757	SAMN25378667	4832	Escherichia coli	SRS15210749; ILLUMINA:SRR21680818; OXFORD_NANOPORE:SRR21680817	CP091773.1	CP091776.1; CP091775.1; CP091774.1	CP091776.1:2028; CP091775.1:5969; CP091774.1:109860; CP091773.1:4800990	Unicycler v. 0.4.8-beta
ecol	SAMN17807534	SRR13766712	SRR13766701	GCA_017088445.1	ASM1708844v1	Escherichia coli		40EC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5254905	10	Complete Genome	2021-03-01		4790484	10							Illumina NovaSeq Oxford Nanopore MiniION	Temasek Life Sciences Laboratory Limited	PRJNA599529	SAMN17807534	5115	Escherichia coli	SRS8305127; ILLUMINA:SRR13766712; OXFORD_NANOPORE:SRR13766701	CP070920.1	CP070929.1; CP070928.1; CP070927.1; CP070926.1; CP070925.1; CP070924.1; CP070923.1; CP070922.1; CP070921.1	CP070929.1:1618; CP070928.1:3375; CP070927.1:4237; CP070926.1:4980; CP070925.1:50323; CP070924.1:60993; CP070923.1:102703; CP070922.1:104226; CP070921.1:131966; CP070920.1:4790484	Unicycler v. 0.4.8
ecol	SAMN39992790	SRR28012666	SRR28036843	GCA_038396335.1	ASM3839633v1	Escherichia coli		KFu021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5012569	4	Complete Genome	2024-04-19		4784920	4							Illumina NovaSeq; Oxford Nanopore MinION	Department of environmental engineering, Kyoto University	PRJNA1078256	SAMN39992790	4922	Escherichia coli	SRS20496061; ILLUMINA:SRR28012666; OXFORD_NANOPORE:SRR28036843	CP147101.1	CP147104.1; CP147103.1; CP147102.1	CP147104.1:1506; CP147103.1:95879; CP147102.1:130264; CP147101.1:4784920	Unicycler v. 0.5.0
ecol	SAMN39992787	SRR28012682	SRR28036850	GCA_038396365.1	ASM3839636v1	Escherichia coli		KMi029					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4997572	16	Complete Genome	2024-04-19		4777987	16							Illumina NovaSeq; Oxford Nanopore MinION	Department of environmental engineering, Kyoto University	PRJNA1078256	SAMN39992787	4936	Escherichia coli	SRS20496047; ILLUMINA:SRR28012682; OXFORD_NANOPORE:SRR28036850	CP147109.1	CP147124.1; CP147123.1; CP147122.1; CP147121.1; CP147120.1; CP147119.1; CP147118.1; CP147117.1; CP147116.1; CP147115.1; CP147114.1; CP147113.1; CP147112.1; CP147111.1; CP147110.1	CP147124.1:1408; CP147123.1:2029; CP147122.1:2203; CP147121.1:2693; CP147120.1:2726; CP147119.1:3062; CP147118.1:3360; CP147117.1:4018; CP147116.1:4075; CP147115.1:4270; CP147114.1:4696; CP147113.1:4906; CP147112.1:5719; CP147111.1:68347; CP147110.1:106073; CP147109.1:4777987	Unicycler v. 0.5.0
ecol	SAMN13951924	SRR11038978	SRR11038974	GCA_010365365.1	ASM1036536v1	Escherichia coli		64					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4835250	4	Complete Genome	2020-02-09		4771203	4							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951924	4663	Escherichia coli	SRS6117400; ILLUMINA:SRR11038978; OXFORD_NANOPORE:SRR11038974	CP048322.1	CP048325.1; CP048324.1; CP048323.1	CP048325.1:50136; CP048324.1:3789; CP048323.1:10122; CP048322.1:4771203	unicycler v. 0.4.8
ecol	SAMN13951923	SRR11038977	SRR11038965	GCA_010365405.1	ASM1036540v1	Escherichia coli		61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4835592	4	Complete Genome	2020-02-09		4770210	4							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951923	4663	Escherichia coli	SRS6117403; ILLUMINA:SRR11038977; OXFORD_NANOPORE:SRR11038965	CP048326.1	CP048329.1; CP048328.1; CP048327.1	CP048329.1:3789; CP048328.1:10122; CP048327.1:51471; CP048326.1:4770210	unicycler v. 0.4.8
ecol	SAMN17807537	SRR13766681	SRR13766680	GCA_017088405.1	ASM1708840v1	Escherichia coli		99COLEC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4947804	4	Complete Genome	2021-03-01		4770142	4							Illumina NovaSeq Oxford Nanopore MiniION	Temasek Life Sciences Laboratory Limited	PRJNA599529	SAMN17807537	4737	Escherichia coli	SRS8305155; ILLUMINA:SRR13766681; OXFORD_NANOPORE:SRR13766680	CP070902.1	CP070905.1; CP070904.1; CP070903.1	CP070905.1:1506; CP070904.1:2460; CP070903.1:173696; CP070902.1:4770142	Unicycler v. 0.4.8
ecol	SAMN41094847	SRR28815870	SRR29099097	GCA_038627295.2	ASM3862729v2	Escherichia coli		2024CK-00535					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5002801	6	Complete Genome	2024-06-02		4769313	6							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN41094847	4912	Escherichia coli	SRS21135309; ILLUMINA:SRR28815870; OXFORD_NANOPORE:SRR29099097	CP157243.1	CP157248.1; CP157247.1; CP157246.1; CP157245.1; CP157244.1	CP157248.1:4072; CP157247.1:6200; CP157246.1:24469; CP157245.1:58380; CP157244.1:140367; CP157243.1:4769313	Unicycler v. 0.5.0
ecol	SAMN21037614	SRR21680730	SRR21680729	GCA_019890835.1	ASM1989083v1	Escherichia coli		VCSW5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4852968	2	Complete Genome	2021-09-07		4764500	2							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA758822	SAMN21037614	4621	Escherichia coli	SRS15210664; ILLUMINA:SRR21680730; OXFORD_NANOPORE:SRR21680729	CP082355.1	CP082356.1	CP082356.1:88468; CP082355.1:4764500	Unicycler v. v0.4.8-beta
ecol	SAMN13951915	SRR11038968	SRR11038983	GCA_010365545.1	ASM1036554v1	Escherichia coli		38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4827947	3	Complete Genome	2020-02-09		4738863	3							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951915	4640	Escherichia coli	SRS6117399; OXFORD_NANOPORE:SRR11038983; ILLUMINA:SRR11038968	CP048376.1	CP048378.1; CP048377.1	CP048378.1:2088; CP048377.1:86996; CP048376.1:4738863	unicycler v. 0.4.8
ecol	SAMN37560771	SRR26195175	SRR26195176	GCA_033098885.1	ASM3309888v1	Escherichia coli		MS1266					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4993617	4	Complete Genome	2023-10-27		4735863	4							Illumina HiSeq; Oxford Nanopore GridION	Mississippi State University	PRJNA839731	SAMN37560771	4817	Escherichia coli	SRS18992470; OXFORD_NANOPORE:SRR26195176; ILLUMINA:SRR26195175	CP135959.1	CP135962.1; CP135961.1; CP135960.1	CP135962.1:1552; CP135961.1:122100; CP135960.1:134102; CP135959.1:4735863	Flye v. 2.9; Unicycler v. 0.5.0
ecol	SAMN13951920	SRR11038973	SRR11038962	GCA_010365465.1	ASM1036546v1	Escherichia coli		124					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4910586	5	Complete Genome	2020-02-09		4731258	5							Oxford Nanopore/illumina minniseq	University of Zurich	PRJNA604100	SAMN13951920	4759	Escherichia coli	SRS6117404; ILLUMINA:SRR11038973; OXFORD_NANOPORE:SRR11038962	CP048344.1	CP048348.1; CP048347.1; CP048346.1; CP048345.1	CP048348.1:2088; CP048347.1:28663; CP048346.1:51466; CP048345.1:97111; CP048344.1:4731258	unicycler v. 0.4.8
ecol	SAMN21038243	SRR21680732	SRR21680731	GCA_019890855.1	ASM1989085v1	Escherichia coli		VCSW7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4820944	2	Complete Genome	2021-09-07		4730997	2							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA758822	SAMN21038243	4563	Escherichia coli	SRS15210665; ILLUMINA:SRR21680732; OXFORD_NANOPORE:SRR21680731	CP082357.1	CP082358.1	CP082358.1:89947; CP082357.1:4730997	Unicycler v. v0.4.8-beta
ecol	SAMN21036792	SRR19975623	SRR19975622	GCA_019891035.1	ASM1989103v1	Escherichia coli		AL.H8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4809461	2	Complete Genome	2021-09-07		4729845	2							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA758815	SAMN21036792	4660	Escherichia coli	SRS13698366; ILLUMINA:SRR19975623; OXFORD_NANOPORE:SRR19975622	CP082349.1	CP082350.1	CP082350.1:79616; CP082349.1:4729845	Unicycler v. v0.4.8-beta
ecol	SAMN12512712	SRR10015223	SRR10015224	GCA_008823185.1	ASM882318v1	Escherichia coli		PK6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4789129	5	Complete Genome	2019-10-04		4726527	5							Illumina MiSeq; Oxford Nanopore MiniION	University of Bern	PRJNA559061	SAMN12512712	4704	Escherichia coli	SRS5302731; OXFORD_NANOPORE:SRR10015224; ILLUMINA:SRR10015223	CP042588.1	CP042592.1; CP042591.1; CP042590.1; CP042589.1	CP042592.1:2724; CP042591.1:4593; CP042590.1:12602; CP042589.1:42683; CP042588.1:4726527	Unicycler v. 0.4.4
ecol	SAMN17807535	SRR13766690	SRR13766684	GCA_017088465.1	ASM1708846v1	Escherichia coli		65COLEC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5055327	6	Complete Genome	2021-03-01		4722363	6							Illumina NovaSeq Oxford Nanopore MiniION	Temasek Life Sciences Laboratory Limited	PRJNA599529	SAMN17807535	4856	Escherichia coli	SRS8305148; ILLUMINA:SRR13766690; OXFORD_NANOPORE:SRR13766684	CP070914.1	CP070919.1; CP070918.1; CP070917.1; CP070916.1; CP070915.1	CP070919.1:1551; CP070918.1:3373; CP070917.1:4710; CP070916.1:106065; CP070915.1:217265; CP070914.1:4722363	Unicycler v. 0.4.8
ecol	SAMN15086849	SRR11909878	SRR11909877	GCA_014169995.1	ASM1416999v1	Escherichia coli		IDR1900005638-01-02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4779842	3	Complete Genome	2020-08-12		4702170	3							Illumina MiSeq; Oxford Nanopore MiniION	Wadsworth Center, New York State Department of Health	PRJNA636827	SAMN15086849	4549	Escherichia coli	SRS6757886; ILLUMINA:SRR11909878; OXFORD_NANOPORE:SRR11909877	CP054282.1	CP054284.1; CP054283.1	CP054284.1:34051; CP054283.1:43621; CP054282.1:4702170	Unicycler v. 0.4.8
ecol	SAMN33417457	SRR24502285	SRR24502284	GCA_029223605.1	ASM2922360v1	Escherichia coli		MRE162					Annotation submitted by Norwegian Defence Research Establishment	4767221	2	Complete Genome	2023-03-16		4690371	2							Illumina MiniSeq; Oxford Nanopore MinION	Norwegian Defence Research Establishment	PRJNA935550	SAMN33417457	4640	Escherichia coli	SRS17614138; ILLUMINA:SRR24502285; OXFORD_NANOPORE:SRR24502284	CP119400.1	CP119401.1	CP119401.1:76850; CP119400.1:4690371	Unicycler v. v0.5.0
ecol	SAMN33417455	SRR24502289	SRR24502288	GCA_029223645.1	ASM2922364v1	Escherichia coli		MRE162					Annotation submitted by Norwegian Defence Research Establishment	4766891	2	Complete Genome	2023-03-16		4690036	2							Illumina MiSeq; Oxford Nanopore MinION	Norwegian Defence Research Establishment	PRJNA935550	SAMN33417455	4645	Escherichia coli	SRS17614136; ILLUMINA:SRR24502289; OXFORD_NANOPORE:SRR24502288	CP119404.1	CP119405.1	CP119405.1:76855; CP119404.1:4690036	Unicycler v. v0.5.0
ecol	SAMN29011449	SRR21133211	SRR21133210	GCA_024023055.1	ASM2402305v1	Escherichia coli		EMG2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4774480	2	Complete Genome	2022-06-29		4675322	2							Illumina HiSeq, Oxford Nanopore	Aston University	PRJNA848777	SAMN29011449	4648	Escherichia coli	SRS14717974; ILLUMINA:SRR21133211; OXFORD_NANOPORE:SRR21133210	CP099588.1	CP099589.1	CP099589.1:99158; CP099588.1:4675322	Unicycler v. 0.4.0
ecol	SAMN25236399	SRR17731593	SRR17772288	GCA_022494725.1	ASM2249472v1	Escherichia coli		KFu022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4893247	5	Complete Genome	2022-03-07		4675244	5							Illumina NovaSeq; Oxford Nanopore MinION	Kyoto University	PRJNA800231	SAMN25236399	4814	Escherichia coli	SRS11758165; ILLUMINA:SRR17731593; OXFORD_NANOPORE:SRR17772288	CP091677.1	CP091681.1; CP091680.1; CP091679.1; CP091678.1	CP091681.1:5448; CP091680.1:5658; CP091679.1:98126; CP091678.1:108771; CP091677.1:4675244	Unicycler v. 0.4.8
ecol	SAMN21039660	SRR21680750	SRR21680749	GCA_020683245.1	ASM2068324v1	Escherichia coli		VCSW8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4674977	2	Complete Genome	2021-10-31		4672036	2							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA758822	SAMN21039660	4464	Escherichia coli	SRS15210682; ILLUMINA:SRR21680750; OXFORD_NANOPORE:SRR21680749	CP085488.1	CP085489.1	CP085489.1:2941; CP085488.1:4672036	Unicycler v. v0.4.8-beta
ecol	SAMN25236400	SRR17731592	SRR17772287	GCA_022494645.1	ASM2249464v1	Escherichia coli		KFu023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4674103	2	Complete Genome	2022-03-07		4672002	2							Illumina NovaSeq; Oxford Nanopore MinION	Kyoto University	PRJNA800231	SAMN25236400	4484	Escherichia coli	SRS11758166; ILLUMINA:SRR17731592; OXFORD_NANOPORE:SRR17772287	CP091662.1	CP091663.1	CP091663.1:2101; CP091662.1:4672002	Unicycler v. 0.4.8
ecol	SAMN29011448	SRR21124987	SRR21124986	GCA_024023075.1	ASM2402307v1	Escherichia coli		WG1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4735495	2	Complete Genome	2022-06-29		4668087	2							Illumina HiSeq, Oxford Nanopore	Aston University	PRJNA848777	SAMN29011448	4624	Escherichia coli	SRS14710928; ILLUMINA:SRR21124987; OXFORD_NANOPORE:SRR21124986	CP099590.1	CP099591.1	CP099591.1:67408; CP099590.1:4668087	Unicycler v. 0.4.0
ecol	SAMN17807533	SRR13766724	SRR13766723	GCA_017088485.1	ASM1708848v1	Escherichia coli		30COLEC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4761190	5	Complete Genome	2021-03-01		4668053	5							Illumina NovaSeq Oxford Nanopore MiniION	Temasek Life Sciences Laboratory Limited	PRJNA599529	SAMN17807533	4566	Escherichia coli	SRS8305117; ILLUMINA:SRR13766724; OXFORD_NANOPORE:SRR13766723	CP070930.1	CP070934.1; CP070933.1; CP070932.1; CP070931.1	CP070934.1:2516; CP070933.1:3723; CP070932.1:34313; CP070931.1:52585; CP070930.1:4668053	Unicycler v. 0.4.8
ecol	SAMN17214841	SRR13358227	SRR13358216	GCA_017639105.1	ASM1763910v1	Escherichia coli		ABW_S38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5159527	9	Complete Genome	2021-03-30		4648008	9							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214841	5064	Escherichia coli	SRS7969849; ILLUMINA:SRR13358227; OXFORD_NANOPORE:SRR13358216	CP067265.1	CP067273.1; CP067272.1; CP067271.1; CP067270.1; CP067269.1; CP067268.1; CP067267.1; CP067266.1	CP067273.1:2348; CP067272.1:4183; CP067271.1:4664; CP067270.1:35341; CP067269.1:44683; CP067268.1:53010; CP067267.1:63454; CP067266.1:303836; CP067265.1:4648008	Unicycler v. 0.4.8
ecol	SAMD00515063	DRR396381	DRR396380	GCA_025999515.1	ASM2599951v1	Escherichia coli		EC20-4B-2					Annotation submitted by Hiroshima University	4943131	3	Complete Genome	2022-10-22		4645627	3							Illumina Hiseq; Nanopore MinION	Hiroshima University	PRJDB11927	SAMD00515063	4730	Escherichia coli	DRS247486; OXFORD_NANOPORE:DRR396380; ILLUMINA:DRR396381	AP026937.1	AP026939.1; AP026938.1	AP026939.1:137080; AP026938.1:160424; AP026937.1:4645627	Unicycler v. 0.5.0
ecol	SAMN29499313	SRR19977209	SRR19977222	GCA_024225435.1	ASM2422543v1	Escherichia coli		LH13-b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4897184	5	Complete Genome	2022-07-13		4644672	5							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA855630	SAMN29499313	4805	Escherichia coli	SRS13699818; OXFORD_NANOPORE:SRR19977222; ILLUMINA:SRR19977209	CP100525.1	CP100529.1; CP100528.1; CP100527.1; CP100526.1	CP100529.1:4150; CP100528.1:46338; CP100527.1:80637; CP100526.1:121387; CP100525.1:4644672	Unicycler v. 0.5.0
ecol	SAMN37709343	SRR26305330	SRR26305331	GCA_033401435.1	ASM3340143v1	Escherichia coli					FELIX_MS771		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4647666	2	Complete Genome	2023-11-07		4638730	2							Illumina MiSeq, Oxford Nanopore MiniION	Lawrence Berkeley National Laboratory	PRJNA607328	SAMN37709343	4537	Escherichia coli	SRS19087281; OXFORD_NANOPORE:SRR26305331; ILLUMINA:SRR26305330	CP137709.1	CP137710.1	CP137710.1:8936; CP137709.1:4638730	Unicycler v. v0.4.9b
ecol	SAMN17214836	SRR13358232	SRR13358237	GCA_017639165.1	ASM1763916v1	Escherichia coli		027_SK3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5145496	7	Complete Genome	2021-03-30		4631526	7							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214836	5039	Escherichia coli	SRS7969842; OXFORD_NANOPORE:SRR13358237; ILLUMINA:SRR13358232	CP067311.1	CP067317.1; CP067316.1; CP067315.1; CP067314.1; CP067313.1; CP067312.1	CP067317.1:3223; CP067316.1:4664; CP067315.1:44683; CP067314.1:63454; CP067313.1:104584; CP067312.1:293362; CP067311.1:4631526	Unicycler v. 0.4.8
ecol	SAMN17214839	SRR13358229	SRR13358218	GCA_017639125.1	ASM1763912v1	Escherichia coli		ABW_A33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4859353	4	Complete Genome	2021-03-30		4625685	4							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214839	4715	Escherichia coli	SRS7969848; ILLUMINA:SRR13358229; OXFORD_NANOPORE:SRR13358218	CP067299.1	CP067302.1; CP067301.1; CP067300.1	CP067302.1:3849; CP067301.1:72418; CP067300.1:157401; CP067299.1:4625685	Unicycler v. 0.4.8
ecol	SAMN17214848	SRR13358219	SRR13358233	GCA_017638965.1	ASM1763896v1	Escherichia coli		SBF45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4824765	3	Complete Genome	2021-03-30		4622610	3							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214848	4622	Escherichia coli	SRS7969846; OXFORD_NANOPORE:SRR13358233; ILLUMINA:SRR13358219	CP067232.1	CP067234.1; CP067233.1	CP067234.1:95149; CP067233.1:107006; CP067232.1:4622610	Unicycler v. 0.4.8
ecol	SAMN29939562	SRR26205273	SRR26205272	GCA_024507875.1	ASM2450787v1	Escherichia coli		JCC-EE 7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4728443	3	Complete Genome	2022-08-03		4613188	3							Illumina MiSeq, Oxford Nanopore MiniION	Lawrence Berkeley National Laboratory	PRJNA607328	SAMN29939562	4657	Escherichia coli	SRS19001459; ILLUMINA:SRR26205273; OXFORD_NANOPORE:SRR26205272	CP101922.1	CP101924.1; CP101923.1	CP101924.1:3327; CP101923.1:111928; CP101922.1:4613188	Unicycler v. v0.4.8
