species_id	sample_id	long_reads	short_reads	long_read_type	Isolate	Assembly Accession	Animal or WwTW	Isolate source information	Timepoint	Niche	Niche.2	Location	Genus	Species	ST assignment	Circularised plasmids	Number of contigs	Circularised chromosome (1=yes)	Total genome size (bp)	Chromosome GC (if known)	Phylogroup (E. coli only)	Alternative isolate name
ecol	SAMN15148540	SRR12298366	SRR11948893	Nanopore	WTP3|T1-00206	GCA_014103815.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Escherichia	Escherichia coli	127	0	3	0	5185847	NA	B2	RHBSTW-00206
ecol	SAMN15148405	SRR12298930	SRR11948733	Nanopore	RH09|T3-C22	GCA_013806305.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	3476	4	5	1	5286351	50.7	A	RHB39-C22
ecol	SAMN15148256	SRR12298798	SRR11949054	Nanopore	RH04|T2-C02	GCA_013832805.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH04	Escherichia	Escherichia coli	10	2	3	1	4861501	50.7	A	RHB27-C02
ecol	SAMN15148061	SRR12299080	SRR11948998	Nanopore	RH15|T1-C14	GCA_013924285.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH15	Escherichia	Escherichia coli	28	3	4	0	5177944	NA	B2	RHB10-C14
cxxx	SAMN15148552	SRR12298352	SRR11949095	PacBio	WTP3|T1-00229	GCA_013786345.1	WTP	Wastewater effluent sample	1	WTP3	Effluent	WTP3	Citrobacter	Citrobacter sp.	NA	1	2	1	5309420	52.2	NA	RHBSTW-00229
kxxx	SAMN15148622	SRR12298776	SRR11949246	Nanopore	WTP5|T2-00465	GCA_014103505.1	WTP	Wastewater effluent sample	2	WTP5	Effluent	WTP5	Klebsiella	Klebsiella sp.	NA	4	9	0	6638405	NA	NA	RHBSTW-00465
ecol	SAMN15148172	SRR12298510	SRR11948971	Nanopore	RH14|T2-C23	GCA_013891425.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	5614	2	3	1	4992283	50.9	B1	RHB19-C23
ecol	SAMN15148121	SRR12298591	SRR11949078	Nanopore	RH11|T2-C11	GCA_014105465.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH11	Escherichia	Escherichia coli	155	3	6	0	5200190	NA	B1	RHB15-C11
efer	SAMN15148146	SRR12298564	SRR11949327	Nanopore	RH03|T2-C11	GCA_013894595.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH03	Escherichia	Escherichia fergusonii	4419	0	1	1	4549644	49.9	fergusonii	RHB17-C11
ecol	SAMN15148414	SRR12298602	SRR11948959	Nanopore	RH08|T3-C10	GCA_013804245.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	10	1	2	1	5134633	50.7	A	RHB40-C10
ecol	SAMN15148701	SRR12298613	SRR11948874	Nanopore	WTP5|T3-00814	GCA_013732895.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP5	Upstream	WTP5	Escherichia	Escherichia coli	NA	5	6	1	5083937	50.3	cladeV	RHBSTW-00814
ecol	SAMN15148217	SRR12298889	SRR11949215	Nanopore	RH12|T2-C14	GCA_013884255.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	2077	2	3	1	5011436	50.8	B1	RHB23-C14
ecol	SAMN15148413	SRR12298603	SRR11948960	Nanopore	RH08|T3-C09	GCA_013804445.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	3476	1	2	1	5120263	50.6	A	RHB40-C09
ecol	SAMN15147983	SRR12298643	SRR11948762	Nanopore	RH01|T1-C24	GCA_014106285.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH01	Escherichia	Escherichia coli	1308	2	5	0	5220895	NA	B1	RHB03-C24
ecol	SAMN15148278	SRR12298746	SRR11949045	Nanopore	RH11|T3-C08	GCA_013828415.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Escherichia	Escherichia coli	5966	3	4	1	4977160	50.8	B2	RHB29-C08
ecol	SAMN15148397	SRR12298938	SRR11948741	Nanopore	RH09|T3-C05	GCA_014104465.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	NA	1	5	0	4656325	NA	A	RHB39-C05
eclo	SAMN15148476	SRR12298437	SRR11948782	Nanopore	WTP5|T1-00083	GCA_013625575.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Enterobacter	Enterobacter cloacae	108	3	4	1	4904566	55.5	NA	RHBSTW-00083
kpne	SAMN15148468	SRR12298445	SRR11948790	Nanopore	WTP5|T1-00066	GCA_013796245.1	WTP	Wastewater influent sample	1	WTP5	Influent	WTP5	Klebsiella	Klebsiella pneumoniae	111	4	5	1	5568728	57.3	NA	RHBSTW-00066
eclo	SAMN15148541	SRR12298365	SRR11948892	PacBio	WTP3|T1-00209	GCA_014103775.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Enterobacter	Enterobacter cloacae	277	6	10	0	5378233	NA	NA	RHBSTW-00209
eclo	SAMN15148450	SRR12298489	SRR11949324	PacBio	WTP4|T1-00012	GCA_013635495.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Enterobacter	Enterobacter cloacae	104	4	5	1	5075790	54.9	NA	RHBSTW-00012
ecol	SAMN15148262	SRR12298791	SRR11949047	Nanopore	RH04|T2-C18	GCA_013831545.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH04	Escherichia	Escherichia coli	10	2	3	1	4867902	50.7	A	RHB27-C18
ecol	SAMN15148260	SRR12298793	SRR11949049	Nanopore	RH04|T2-C14	GCA_014104955.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH04	Escherichia	Escherichia coli	10	2	7	0	4863845	NA	A	RHB27-C14
cxxx	SAMN15148758	SRR12299050	SRR11949008	Nanopore	WTP3|T3-00976	GCA_013724425.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Citrobacter	Citrobacter sp.	NA	2	3	1	5373738	52	NA	RHBSTW-00976
ecol	SAMN15148054	SRR12299088	SRR11948840	Nanopore	RH08|T1-C24	GCA_013899865.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	4	5	1	5350040	50.7	E	RHB09-C24
ecol	SAMN15148677	SRR12298687	SRR11948900	Nanopore	WTP2|T2-00670	GCA_013745955.1	WTP	Wastewater influent sample	2	WTP2	Influent	WTP2	Escherichia	Escherichia coli	1196	3	4	1	5128301	50.8	B1	RHBSTW-00670
ecol	SAMN15148100	SRR12298965	SRR11949101	PacBio	RH03|T1-C18	GCA_013899055.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	641	1	2	1	4683071	50.8	B1	RHB13-C18
koxy	SAMN15148657	SRR12298709	SRR11949238	Nanopore	WTP1|T2-00577	GCA_013735435.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP1	Downstream	WTP1	Klebsiella	Klebsiella oxytoca	NA	5	6	1	6134804	55.9	NA	RHBSTW-00577
ecol	SAMN15148475	SRR12298438	SRR11948783	Nanopore	WTP5|T1-00082	GCA_013795545.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	131	2	3	1	5413656	50.6	B2	RHBSTW-00082
ecol	SAMN15148605	SRR12298819	SRR11948671	Nanopore	WTP4|T2-00410	GCA_013749975.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP4	Upstream	WTP4	Escherichia	Escherichia coli	2079	2	3	1	5510444	50.9	B1	RHBSTW-00410
ecol	SAMN15148639	SRR12298730	SRR11948927	Nanopore	WTP1|T2-00503	GCA_013740395.1	WTP	Wastewater influent sample	2	WTP1	Influent	WTP1	Escherichia	Escherichia coli	5846	4	5	1	5056614	50.5	A	RHBSTW-00503
ecol	SAMN15148148	SRR12298560	SRR11949291	Nanopore	RH03|T2-C14	GCA_013894235.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH03	Escherichia	Escherichia coli	3947	1	2	1	4357677	50.5	F	RHB17-C14
ecol	SAMN15148136	SRR12298575	SRR11949338	Nanopore	RH02|T2-C11	GCA_013896775.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Escherichia	Escherichia coli	42	7	8	1	6126753	50.6	D	RHB16-C11
cfre	SAMN15148553	SRR12298924	SRR11949094	PacBio	WTP3|T1-00231	GCA_014103715.1	WTP	Wastewater effluent sample	1	WTP3	Effluent	WTP3	Citrobacter	Citrobacter freundii	NA	3	12	0	5459589	NA	NA	RHBSTW-00231
ecol	SAMN15148074	SRR12299018	SRR11948984	Nanopore	RH10|T1-C17	GCA_013899585.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	NA	2	3	1	5005191	50.8	B1	RHB11-C17
kpne	SAMN15148509	SRR12298400	SRR11948949	PacBio	WTP1|T1-00138	GCA_013624775.1	WTP	Wastewater influent sample	1	WTP1	Influent	WTP1	Klebsiella	Klebsiella pneumoniae	NA	14	15	1	5686744	57.7	NA	RHBSTW-00138
ecol	SAMN15148436	SRR12298530	SRR11949149	Nanopore	RH12|T3-C12	GCA_014104435.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia coli	5592	4	11	0	5215311	NA	E	RHB42-C12
ecol	SAMN15148215	SRR12298892	SRR11949218	Nanopore	RH12|T2-C10	GCA_013884475.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	227	9	10	1	4957694	50.8	A	RHB23-C10
ecol	SAMN15148018	SRR12298710	SRR11949239	Nanopore	RH14|T1-C20	GCA_013900265.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	154	2	3	1	5058063	50.7	B1	RHB06-C20
ecol	SAMN15148280	SRR12298744	SRR11949043	Nanopore	RH11|T3-C10	GCA_013828205.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Escherichia	Escherichia coli	1086	1	2	1	5244427	50.6	B1	RHB29-C10
ecol	SAMN15148411	SRR12298605	SRR11948962	Nanopore	RH08|T3-C06	GCA_013804865.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	1	2	1	4967139	50.8	B2	RHB40-C06
ecol	SAMN15148328	SRR12298619	SRR11949188	Nanopore	RH14|T3-C09	GCA_013824695.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	5766	2	3	1	5181984	50.9	A	RHB33-C09
cfre	SAMN15148535	SRR12298372	SRR11949167	PacBio	WTP1|T1-00199	GCA_014103885.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Citrobacter	Citrobacter freundii	91	3	7	0	5421954	NA	NA	RHBSTW-00199
ecol	SAMN15148177	SRR12298480	SRR11948649	Nanopore	RH10|T2-C09	GCA_013928145.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Escherichia	Escherichia coli	343	3	4	0	5569406	NA	B1	RHB20-C09
ecol	SAMN15148226	SRR12298856	SRR11948772	Nanopore	RH15|T2-C09	GCA_013838005.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Escherichia	Escherichia coli	6118	3	4	1	5277347	50.6	E	RHB24-C09
efer	SAMN15148162	SRR12298521	SRR11948982	Nanopore	RH14|T2-C05	GCA_013892435.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia fergusonii	5636	2	3	1	4784444	50	fergusonii	RHB19-C05
cfre	SAMN15148536	SRR12298371	SRR11949166	Nanopore	WTP1|T1-00200	GCA_013614655.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Citrobacter	Citrobacter freundii	NA	0	2	1	5532539	52	NA	RHBSTW-00200
ecol	SAMN15148145	SRR12298565	SRR11949328	Nanopore	RH03|T2-C10	GCA_013894775.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH03	Escherichia	Escherichia coli	23	2	3	1	4988814	50.7	C	RHB17-C10
kpne	SAMN15148729	SRR12299131	SRR11948725	Nanopore	WTP1|T3-00883	GCA_013728275.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP1	Downstream	WTP1	Klebsiella	Klebsiella pneumoniae	3815	2	3	1	5675481	57.4	NA	RHBSTW-00883
ecol	SAMN15148623	SRR12298775	SRR11949245	Nanopore	WTP5|T2-00466	GCA_013785265.1	WTP	Wastewater effluent sample	2	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	14	1	2	1	5365738	50.5	B2	RHBSTW-00466
cfre	SAMN15148568	SRR12298883	SRR11948695	Nanopore	WTP2|T1-00310	GCA_013786145.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Citrobacter	Citrobacter freundii	185	2	3	1	5531178	51.8	NA	RHBSTW-00310
efer	SAMN15148292	SRR12298659	SRR11949212	Nanopore	RH02|T3-C07	GCA_013825725.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	1	2	1	4876117	50	fergusonii	RHB30-C07
ecol	SAMN15148007	SRR12298358	SRR11948885	PacBio	RH14|T1-C02	GCA_014106065.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	609	1	3	0	4579685	NA	A	RHB06-C02
cxxx	SAMN15148451	SRR12298488	SRR11949323	Nanopore	WTP4|T1-00013	GCA_014104375.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Citrobacter	Citrobacter sp.	NA	5	12	0	5347035	NA	NA	RHBSTW-00013
cxxx	SAMN15148608	SRR12298815	SRR11948667	Nanopore	WTP4|T2-00424	GCA_013741155.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP4	Downstream	WTP4	Citrobacter	Citrobacter sp.	110	4	5	1	5494257	52.2	NA	RHBSTW-00424
koxy	SAMN15148481	SRR12298431	SRR11949306	PacBio	WTP5|T1-00092	GCA_014104195.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Klebsiella	Klebsiella oxytoca	NA	3	25	0	6275021	NA	NA	RHBSTW-00092
ecol	SAMN15148203	SRR12298905	SRR11949119	Nanopore	RH07|T2-C08	GCA_013886735.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	1204	1	2	1	4945522	50.5	D	RHB22-C08
ecol	SAMN15148316	SRR12298633	SRR11948752	Nanopore	RH13|T3-C08	GCA_013709375.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia coli	10	1	9	1	5025109	50.7	A	RHB32-C08
efer	SAMN15147967	SRR12298562	SRR11949325	PacBio	RH02|T1-C14	GCA_013715025.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	4	12	1	4950489	50.1	fergusonii	RHB02-C14
ecol	SAMN15148212	SRR12298895	SRR11949221	Nanopore	RH12|T2-C05	GCA_013885595.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	227	9	10	1	4956287	50.8	A	RHB23-C05
ecol	SAMN15148154	SRR12298554	SRR11949285	Nanopore	RH13|T2-C09	GCA_013893495.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH13	Escherichia	Escherichia coli	3494	3	4	1	4985089	50.8	B1	RHB18-C09
ecol	SAMN15148043	SRR12298946	SRR11949424	PacBio	RH08|T1-C08	GCA_014105855.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	58	3	17	0	5155857	NA	B1	RHB09-C08
cfre	SAMN15148449	SRR12298490	SRR11949015	PacBio	WTP4|T1-00011	GCA_013798115.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Citrobacter	Citrobacter freundii	NA	2	3	1	5577264	52	NA	RHBSTW-00011
ecol	SAMN15148575	SRR12298876	SRR11948688	Nanopore	WTP2|T1-00320	GCA_013741855.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Escherichia	Escherichia coli	200	4	5	1	5485495	50.8	B1	RHBSTW-00320
ecol	SAMN15148440	SRR12298501	SRR11949026	Nanopore	RH12|T3-C22	GCA_013799205.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia coli	5966	6	7	1	5046852	50.8	B2	RHB42-C22
ecol	SAMN15148040	SRR12298949	SRR11949427	Nanopore	RH06|T1-C21	GCA_013900065.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1611	1	2	1	4867619	50.8	B1	RHB08-C21
efer	SAMN15148437	SRR12298504	SRR11949029	Nanopore	RH12|T3-C13	GCA_013799825.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia fergusonii	NA	3	4	1	4661185	50	fergusonii	RHB42-C13
cfre	SAMN15148135	SRR12298576	SRR11949339	Nanopore	RH02|T2-C09	GCA_013897035.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Citrobacter	Citrobacter freundii	NA	4	5	1	5233103	51.9	NA	RHB16-C09
ecol	SAMN15148110	SRR12298954	SRR11948660	PacBio	RH04|T1-C14	GCA_013898995.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Escherichia	Escherichia coli	117	5	6	1	5203658	50.8	G	RHB14-C14
ecol	SAMN15148192	SRR12298464	SRR11949131	Nanopore	RH06|T2-C09	GCA_013888395.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1300	1	2	1	5282834	50.5	E	RHB21-C09
ecol	SAMN15148439	SRR12298502	SRR11949027	Nanopore	RH12|T3-C20	GCA_013799505.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia coli	2144	4	5	1	5134340	50.8	B1	RHB42-C20
koxy	SAMN15148531	SRR12298376	SRR11949171	Nanopore	WTP1|T1-00186	GCA_013744615.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Klebsiella	Klebsiella oxytoca	NA	5	6	1	6043975	55.9	NA	RHBSTW-00186
ecol	SAMN15148069	SRR12299023	SRR11948989	Nanopore	RH10|T1-C06	GCA_014105715.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	206	3	86	0	5633365	NA	A	RHB11-C06
ecol	SAMN15148434	SRR12298532	SRR11949151	Nanopore	RH12|T3-C04	GCA_013800125.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia coli	117	6	7	1	4937796	50.7	G	RHB42-C04
cfre	SAMN15148288	SRR12298663	SRR11949034	Nanopore	RH02|T3-C03	GCA_013826505.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Citrobacter	Citrobacter freundii	NA	6	7	1	5443337	51.8	NA	RHB30-C03
ecol	SAMN15148196	SRR12298460	SRR11949127	Nanopore	RH06|T2-C20	GCA_013887755.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	711	2	3	1	5071080	50.9	B1	RHB21-C20
efer	SAMN15148286	SRR12298666	SRR11949037	Nanopore	RH02|T3-C01	GCA_014104915.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	0	26	0	4864794	NA	fergusonii	RHB30-C01
kpne	SAMN15148165	SRR12298518	SRR11948979	Nanopore	RH14|T2-C08	GCA_014105245.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Klebsiella	Klebsiella pneumoniae	NA	0	24	0	5372117	NA	NA	RHB19-C08
kpne	SAMN15148644	SRR12298725	SRR11948922	Nanopore	WTP1|T2-00515	GCA_013735895.1	WTP	Wastewater influent sample	2	WTP1	Influent	WTP1	Klebsiella	Klebsiella pneumoniae	188	6	7	1	5835464	57.2	NA	RHBSTW-00515
ecol	SAMN15148242	SRR12298838	SRR11949412	Nanopore	RH08|T2-C20	GCA_013835205.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia coli	316	1	2	1	5040616	50.8	B1	RHB25-C20
cxxx	SAMN15148189	SRR12298467	SRR11948636	Nanopore	RH06|T2-C05	GCA_013889015.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Citrobacter	Citrobacter sp.	NA	0	1	1	4652007	54.8	NA	RHB21-C05
ecol	SAMN15148013	SRR12298817	SRR11948669	PacBio	RH14|T1-C09	GCA_013924945.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	7428	4	5	0	4994278	NA	B1	RHB06-C09
kxxx	SAMN15148630	SRR12298767	SRR11948707	Nanopore	WTP5|T2-00484	GCA_013705725.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Klebsiella	Klebsiella sp.	NA	8	31	1	6936633	53.1	NA	RHBSTW-00484
eclo	SAMN15148680	SRR12298684	SRR11948897	Nanopore	WTP2|T2-00675	GCA_013739155.1	WTP	Wastewater influent sample	2	WTP2	Influent	WTP2	Enterobacter	Enterobacter cloacae	24	4	5	1	4911002	55.8	NA	RHBSTW-00675
ecol	SAMN15148122	SRR12298590	SRR11949077	Nanopore	RH11|T2-C16	GCA_014105395.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH11	Escherichia	Escherichia coli	154	4	13	0	5286764	NA	B1	RHB15-C16
ecol	SAMN15148361	SRR12299107	SRR11949375	Nanopore	RH07|T3-C04	GCA_013815865.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	54	1	2	1	4983384	50.8	B1	RHB36-C04
cfre	SAMN15148307	SRR12298642	SRR11948761	Nanopore	RH10|T3-C16	GCA_013821695.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Citrobacter	Citrobacter freundii	NA	0	1	1	4719098	52.5	NA	RHB31-C16
exxx	SAMN15148757	SRR12299051	SRR11949009	Nanopore	WTP3|T3-00975	GCA_013615235.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Enterobacter	Enterobacter sp.	13	3	5	1	4987558	54.6	NA	RHBSTW-00975
ecol	SAMN15148052	SRR12299090	SRR11948842	Nanopore	RH08|T1-C22	GCA_013899905.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	164	1	2	1	4900195	50.9	B1	RHB09-C22
exxx	SAMN15148659	SRR12298707	SRR11949236	Nanopore	WTP3|T2-00593	GCA_013784105.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP3	Upstream	WTP3	Enterobacter	Enterobacter sp.	374	1	2	1	5018130	54.5	NA	RHBSTW-00593
ecol	SAMN15148337	SRR12299158	SRR11949114	Nanopore	RH03|T3-C04	GCA_013823335.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH03	Escherichia	Escherichia coli	4268	6	7	1	4984569	50.7	B2	RHB34-C04
kpne	SAMN15148092	SRR12298974	SRR11949110	PacBio	RH04|T1-C03	GCA_014105655.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Klebsiella	Klebsiella pneumoniae	45	0	120	0	5492319	NA	NA	RHB14-C03
ecol	SAMN15147976	SRR12298844	SRR11949418	Nanopore	RH01|T1-C06	GCA_014108985.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH01	Escherichia	Escherichia coli	NA	5	6	1	4545237	51	A	RHB03-C06
ecol	SAMN15148441	SRR12298500	SRR11949025	Nanopore	RH12|T3-C23	GCA_013799025.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH12	Escherichia	Escherichia coli	2165	0	1	1	4722117	50.9	B1	RHB42-C23
ecol	SAMN15148088	SRR12299002	SRR11948850	Nanopore	RH09|T1-C24	GCA_013899265.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH09	Escherichia	Escherichia coli	540	0	1	1	4616178	50.8	A	RHB12-C24
efer	SAMN15147971	SRR12298470	SRR11948639	Nanopore	RH02|T1-C22	GCA_013923185.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	5	6	1	4950899	50.1	fergusonii	RHB02-C22
cfre	SAMN15148494	SRR12298417	SRR11948816	Nanopore	WTP5|T1-00116	GCA_014104105.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP5	Downstream	WTP5	Citrobacter	Citrobacter freundii	NA	3	13	0	5336192	NA	NA	RHBSTW-00116
ecol	SAMN15148168	SRR12298514	SRR11948975	Nanopore	RH14|T2-C13	GCA_013891895.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	7	4	5	1	5306908	50.6	B1	RHB19-C13
ecol	SAMN15148050	SRR12299092	SRR11948844	Nanopore	RH08|T1-C20	GCA_013899925.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	2521	3	4	1	5173132	50.7	B1	RHB09-C20
ecol	SAMN15148395	SRR12298941	SRR11948744	Nanopore	RH09|T3-C01	GCA_014104495.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	NA	1	7	0	4656325	NA	A	RHB39-C01
cfre	SAMN15148628	SRR12298769	SRR11948709	Nanopore	WTP5|T2-00477	GCA_013785085.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP5	Upstream	WTP5	Citrobacter	Citrobacter freundii	NA	0	1	1	4792949	52.7	NA	RHBSTW-00477
ecol	SAMN15148002	SRR12298414	SRR11948813	Nanopore	RH12|T1-C17	GCA_014106085.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH12	Escherichia	Escherichia coli	297	2	15	0	5148561	NA	B1	RHB05-C17
ecol	SAMN15148352	SRR12299117	SRR11949385	Nanopore	RH06|T3-C13	GCA_014104735.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Escherichia	Escherichia coli	NA	2	9	0	5031488	NA	B2	RHB35-C13
ecol	SAMN15148333	SRR12299163	SRR11949183	Nanopore	RH14|T3-C17	GCA_013823975.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	2175	1	2	1	5133455	50.9	B1	RHB33-C17
